age,education,employment,income,marital_status,violence
34,none,unemployed,0,married,0
23,none,semi employed,2500,married,0
26,secondary,unemployed,0,married,0
36,primary,unemployed,0,married,0
47,primary,unemployed,0,married,0
33,primary,semi employed,1500,married,0
47,tertiary,unemployed,0,married,0
20,secondary,semi employed,5000,unmarred,0
32,none,unemployed,0,married,0
40,none,unemployed,0,married,0
18,secondary,unemployed,0,unmarred,0
42,none,semi employed,5500,married,0
50,primary,unemployed,0,married,0
40,tertiary,employed,24000,married,0
30,secondary,unemployed,0,married,0
26,secondary,semi employed,3500,married,0
44,primary,unemployed,0,married,0
25,secondary,unemployed,0,married,0
33,secondary,unemployed,0,married,1
20,secondary,unemployed,0,married,0
42,primary,unemployed,0,married,0
21,primary,unemployed,0,unmarred,0
42,primary,unemployed,0,married,1
35,none,semi employed,15000,married,0
24,secondary,unemployed,0,married,0
22,secondary,unemployed,0,married,0
40,none,unemployed,0,married,0
31,secondary,unemployed,0,married,0
26,secondary,unemployed,0,married,1
35,none,unemployed,0,married,0
25,primary,unemployed,0,married,1
15,primary,unemployed,0,unmarred,1
27,primary,unemployed,0,married,1
34,secondary,unemployed,0,married,0
43,primary,unemployed,0,married,0
33,secondary,unemployed,0,married,0
19,none,unemployed,0,married,1
22,primary,unemployed,0,married,0
18,primary,unemployed,0,married,1
23,primary,unemployed,0,married,1
19,secondary,unemployed,0,unmarred,0
19,secondary,unemployed,0,unmarred,0
29,primary,unemployed,0,married,0
20,secondary,unemployed,0,married,0
35,secondary,unemployed,0,married,0
23,tertiary,unemployed,0,married,0
30,tertiary,unemployed,0,married,0
20,primary,unemployed,0,married,1
22,secondary,unemployed,0,unmarred,0
23,secondary,unemployed,0,married,1
22,secondary,semi employed,1200,married,1
30,secondary,unemployed,0,married,0
35,none,unemployed,0,married,1
25,secondary,unemployed,0,married,0
20,primary,unemployed,0,married,1
24,secondary,unemployed,0,married,0
26,primary,semi employed,2500,married,0
22,tertiary,unemployed,0,unmarred,0
20,secondary,unemployed,0,married,0
18,secondary,employed,10000,unmarred,0
44,primary,unemployed,0,married,0
26,tertiary,semi employed,8000,unmarred,0
19,secondary,unemployed,0,married,0
27,none,semi employed,5000,married,0
39,none,unemployed,0,married,0
43,none,unemployed,0,married,0
29,secondary,employed,25000,married,0
50,primary,unemployed,0,married,1
24,primary,unemployed,0,married,1
22,primary,unemployed,0,married,0
50,primary,unemployed,0,married,1
33,primary,unemployed,0,married,0
47,primary,unemployed,0,married,1
44,secondary,unemployed,0,married,0
45,none,semi employed,8000,married,0
44,primary,unemployed,0,married,0
27,primary,unemployed,0,married,1
33,none,unemployed,0,married,0
20,primary,unemployed,0,married,0
30,primary,unemployed,0,married,1
26,secondary,unemployed,0,married,0
55,none,unemployed,0,married,0
23,secondary,unemployed,0,married,1
19,secondary,unemployed,0,married,0
35,primary,unemployed,0,married,0
18,none,unemployed,0,married,0
23,secondary,unemployed,0,married,0
46,primary,employed,2500,married,1
21,primary,unemployed,0,married,1
28,secondary,unemployed,0,married,0
28,secondary,unemployed,0,married,1
45,none,semi employed,5000,married,1
44,primary,unemployed,0,married,0
29,secondary,unemployed,0,married,0
19,secondary,unemployed,0,unmarred,0
21,secondary,unemployed,0,unmarred,0
36,primary,unemployed,0,married,0
46,primary,unemployed,0,married,1
38,primary,unemployed,0,married,0
27,primary,semi employed,3000,married,0
45,none,semi employed,5500,married,0
44,primary,unemployed,0,married,0
36,primary,unemployed,0,married,0
21,primary,unemployed,0,married,0
25,secondary,unemployed,0,married,0
33,primary,unemployed,0,married,0
33,primary,unemployed,0,married,0
23,secondary,unemployed,0,married,0
18,secondary,semi employed,2000,unmarred,0
25,primary,unemployed,0,married,1
28,primary,unemployed,0,married,0
36,primary,unemployed,0,married,0
50,none,unemployed,0,married,1
30,primary,unemployed,0,married,0
32,primary,unemployed,0,married,1
47,primary,unemployed,0,married,1
